;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_12039|ID:85466256|;0;-1,32712080472038;0
VAESTLR12016_v1_11951|ID:85466168|oppF|;0;-1,32699652557915;0
VAESTLR12016_v1_20129|ID:85467289|hlyC|;0;-1,3274416734276;0
VAESTLR12016_v1_12434|ID:85466651|;0;-1,32461667857569;0
VAESTLR12016_v1_10530|ID:85464747|oadA|;0;-1,31963892517619;0
VAESTLR12016_v1_12026|ID:85466243|;0;-1,31941526491072;0
VAESTLR12016_v1_20128|ID:85467288|lifO|;0;-1,32111595730628;0
VAESTLR12016_v1_20712|ID:85467872|;0;-1,33568565203146;0
VAESTLR12016_v1_21179|ID:85468339|oah|;0;-1,33344973597651;0
VAESTLR12016_v1_12660|ID:85466877|hpf|;0;-1,33118613897449;0
VAESTLR12016_v1_12283|ID:85466500|;0;-1,33063843648454;0
VAESTLR12016_v1_20028|ID:85467188|yejB|;0;-1,34620146505317;0
VAESTLR12016_v1_20320|ID:85467480|;0;-1,34154870349313;0
VAESTLR12016_v1_20658|ID:85467818|;0;-1,30130506520507;0
VAESTLR12016_v1_20713|ID:85467873|;0;-1,30079739601197;0
VAESTLR12016_v1_11218|ID:85465435|;0;-1,30345953008134;0
VAESTLR12016_v1_20336|ID:85467496|yiaW|;0;-1,29804068791059;0
VAESTLR12016_v1_11634|ID:85465851|;0;-1,31144615503395;0
VAESTLR12016_v1_11084|ID:85465301|;0;-1,31040971416967;0
VAESTLR12016_v1_12027|ID:85466244|;0;-1,38480801886447;0
VAESTLR12016_v1_11264|ID:85465481|cspD|;0;-1,38433758558736;0
VAESTLR12016_v1_11446|ID:85465663|yhdX|;0;-1,38297174478499;0
VAESTLR12016_v1_20313|ID:85467473|;0;-1,37718971698037;0
VAESTLR12016_v1_20065|ID:85467225|cqsA|;0;-1,36677610705752;0
VAESTLR12016_v1_12743|ID:85466960|astA|;0;-1,36248583661399;0
VAESTLR12016_v1_12428|ID:85466645|;0;-1,39416777693772;0
VAESTLR12016_v1_10899|ID:85465116|umpB|;0;-1,38868286690621;0
VAESTLR12016_v1_20140|ID:85467300|;0;-1,40061226193231;0
VAESTLR12016_v1_20053|ID:85467213|;0;-1,4404996772673;0
VAESTLR12016_v1_10193|ID:85464410|;0;-1,43914474267614;0
VAESTLR12016_v1_11954|ID:85466171|oppB|;0;-1,43606008614263;0
VAESTLR12016_v1_11911|ID:85466128|;0;-1,43462942703383;0
VAESTLR12016_v1_11534|ID:85465751|uhpA|;0;-1,42464693931825;0
VAESTLR12016_v1_20454|ID:85467614|;0;-1,42332149313146;0
VAESTLR12016_v1_12427|ID:85466644|;0;-1,4260099771853;0
VAESTLR12016_v1_12072|ID:85466289|pykA|;0;-1,42147136763112;0
VAESTLR12016_v1_11731|ID:85465948|;0;-1,46541257501337;0
VAESTLR12016_v1_10360|ID:85464577|;0;-1,46286589921994;0
VAESTLR12016_v1_20139|ID:85467299|;0;-1,47062659697645;0
VAESTLR12016_v1_10531|ID:85464748|oadB|;0;-1,4851928176504;0
VAESTLR12016_v1_12479|ID:85466696|;0;-1,48316374654024;0
VAESTLR12016_v1_11076|ID:85465293|ald|;0;-1,50075715134744;0
VAESTLR12016_v1_12442|ID:85466659|;0;-1,50016466237856;0
VAESTLR12016_v1_21139|ID:85468299|endo;0;-1,50292119596041;0
VAESTLR12016_v1_20705|ID:85467865|;0;-1,51122027957041;0
VAESTLR12016_v1_12044|ID:85466261|;0;-1,5068543529099;0
VAESTLR12016_v1_20029|ID:85467189|yejA|;0;-1,53023592556002;0
VAESTLR12016_v1_12429|ID:85466646|;0;-1,52859445066284;0
VAESTLR12016_v1_20337|ID:85467497|yiaV|;0;-1,52621064236851;0
VAESTLR12016_v1_11953|ID:85466170|oppC|;0;-1,52290847639676;0
VAESTLR12016_v1_20511|ID:85467671|;0;-1,18197190922894;0
VAESTLR12016_v1_12430|ID:85466647|;0;-1,18109986929069;0
VAESTLR12016_v1_12674|ID:85466891|ppa|;0;-1,17810445936042;0
VAESTLR12016_v1_11421|ID:85465638|;0;-1,1684041842102;0
VAESTLR12016_v1_11653|ID:85465870|;0;-1,16534891519187;0
VAESTLR12016_v1_30027|ID:85468455|mutM|;0;-1,16025223730529;0
VAESTLR12016_v1_12189|ID:85466406|yicG|;0;-1,15177206767049;0
VAESTLR12016_v1_12431|ID:85466648|;0;-1,15037089046953;0
VAESTLR12016_v1_12826|ID:85467043|;0;-1,14891490493802;0
VAESTLR12016_v1_30085|ID:85468513|gsiA|;0;-1,14828969017025;0
VAESTLR12016_v1_20677|ID:85467837|;0;-1,13978170307143;0
VAESTLR12016_v1_11422|ID:85465639|;0;-1,13705463692906;0
VAESTLR12016_v1_12754|ID:85466971|;0;-1,19106951916663;0
VAESTLR12016_v1_10609|ID:85464826|;0;-1,19084431462478;0
VAESTLR12016_v1_11888|ID:85466105|;0;-1,19032085346701;0
VAESTLR12016_v1_20198|ID:85467358|phhA|;0;-1,19417898657081;0
