;15;22;40
VAESTLR12016_v1_12091|ID:85466308|;-1,25410799086773;0;0
VAESTLR12016_v1_12392|ID:85466609|;-1,2534617117308;0;0
VAESTLR12016_v1_30017|ID:85468445|;-1,24933885518778;0;0
VAESTLR12016_v1_12579|ID:85466796|;-1,2464652475973;0;0
VAESTLR12016_v1_10298|ID:85464515|tusC|;-1,24540522223817;0;0
VAESTLR12016_v1_11240|ID:85465457|tfoX|;-1,2437234807646;0;0
VAESTLR12016_v1_11333|ID:85465550|;-1,25903594285121;0;0
VAESTLR12016_v1_20759|ID:85467919|;-1,25758630020631;0;0
VAESTLR12016_v1_20586|ID:85467746|;-1,26082500499761;0;0
VAESTLR12016_v1_30018|ID:85468446|;-1,27652194773123;0;0
VAESTLR12016_v1_11944|ID:85466161|;-1,27312898630224;0;0
VAESTLR12016_v1_21060|ID:85468220|;-1,23548408851889;0;0
VAESTLR12016_v1_10222|ID:85464439|nudE|;-1,23460851420829;0;0
VAESTLR12016_v1_12364|ID:85466581|;-1,23689222663176;0;0
VAESTLR12016_v1_10108|ID:85464325|yqfA|;-1,23954728067023;0;0
VAESTLR12016_v1_10774|ID:85464991|;-1,22915646858843;0;0
VAESTLR12016_v1_11202|ID:85465419|ybgC|;-1,22671378281704;0;0
VAESTLR12016_v1_10299|ID:85464516|;-1,22312307750324;0;0
VAESTLR12016_v1_11688|ID:85465905|;-1,21577589428146;0;0
VAESTLR12016_v1_12048|ID:85466265|decR|;-1,21465351488679;0;0
VAESTLR12016_v1_21150|ID:85468310|;-1,21888338535136;0;0
VAESTLR12016_v1_21170|ID:85468330|pncB|;-1,21029279069843;0;0
VAESTLR12016_v1_10948|ID:85465165|;-1,16709261437202;0;0
VAESTLR12016_v1_11155|ID:85465372|;-1,16690431467319;0;0
VAESTLR12016_v1_12936|ID:85467153|;-1,16771222089326;0;0
VAESTLR12016_v1_20608|ID:85467768|yjjW|;-1,16395980609416;0;0
VAESTLR12016_v1_12862|ID:85467079|;-1,16217969572674;0;0
VAESTLR12016_v1_12249|ID:85466466|lolB|;-1,17545044920088;0;0
VAESTLR12016_v1_10704|ID:85464921|;-1,17446811286149;0;0
VAESTLR12016_v1_12533|ID:85466750|;-1,17251623023199;0;0
VAESTLR12016_v1_21183|ID:85468343|;-1,1710116049296;0;0
VAESTLR12016_v1_11341|ID:85465558|;-1,14791294893101;0;0
VAESTLR12016_v1_11734|ID:85465951|;-1,14720227159303;0;0
VAESTLR12016_v1_20374|ID:85467534|;-1,14935556628567;0;0
VAESTLR12016_v1_11962|ID:85466179|;-1,15634338412685;0;0
VAESTLR12016_v1_11508|ID:85465725|uspE|;-1,19387020583195;0;0
VAESTLR12016_v1_11736|ID:85465953|;-1,19317253833762;0;0
