;15;22;34
VAESTLR12016_v1_10796|ID:85465013|;-0,731326878365305;0;0
VAESTLR12016_v1_10474|ID:85464691|;-0,731182333085153;0;0
VAESTLR12016_v1_10374|ID:85464591|;-0,730267530135855;0;0
VAESTLR12016_v1_11184|ID:85465401|;-0,730188449507879;0;0
VAESTLR12016_v1_10763|ID:85464980|;-0,728252877201503;0;0
VAESTLR12016_v1_12860|ID:85467077|cadA|;-0,727796497482603;0;0
VAESTLR12016_v1_20378|ID:85467538|;-0,736833559429589;0;0
VAESTLR12016_v1_12456|ID:85466673|;-0,736184874483517;0;0
VAESTLR12016_v1_10024|ID:85464241|;-0,734683137420903;0;0
VAESTLR12016_v1_10373|ID:85464590|;-0,733198323496424;0;0
VAESTLR12016_v1_10649|ID:85464866|ptsP|;-0,722558131023462;0;0
VAESTLR12016_v1_20896|ID:85468056|;-0,722393377068575;0;0
VAESTLR12016_v1_10146|ID:85464363|cdgJ|;-0,723269640525699;0;0
VAESTLR12016_v1_12273|ID:85466490|;-0,724260339152347;0;0
VAESTLR12016_v1_20365|ID:85467525|;-0,719291006400398;0;0
VAESTLR12016_v1_10550|ID:85464767|tapB|;-0,717141201450374;0;0
VAESTLR12016_v1_10125|ID:85464342|;-0,750442809101209;0;0
VAESTLR12016_v1_10798|ID:85465015|;-0,750029683369169;0;0
VAESTLR12016_v1_12936|ID:85467153|;-0,751280089844894;0;0
VAESTLR12016_v1_20903|ID:85468063|;-0,74862540777131;0;0
VAESTLR12016_v1_20105|ID:85467265|;-0,748482602983436;0;0
VAESTLR12016_v1_20951|ID:85468111|;-0,746779018604534;0;0
VAESTLR12016_v1_12633|ID:85466850|holC|;-0,739299707359552;0;0
VAESTLR12016_v1_20899|ID:85468059|;-0,739066481329616;0;0
VAESTLR12016_v1_10279|ID:85464496|;-0,739641868855534;0;0
VAESTLR12016_v1_20928|ID:85468088|;-0,742272983996001;0;0
VAESTLR12016_v1_20806|ID:85467966|;-0,74086811770884;0;0
VAESTLR12016_v1_10118|ID:85464335|smg|;-0,762732105719422;0;0
VAESTLR12016_v1_12518|ID:85466735|zapE|;-0,762369247906608;0;0
VAESTLR12016_v1_10462|ID:85464679|;-0,761978032791859;0;0
VAESTLR12016_v1_21000|ID:85468160|;-0,761518153344354;0;0
VAESTLR12016_v1_10360|ID:85464577|;-0,760959056747747;0;0
VAESTLR12016_v1_21212|ID:85468372|;-0,760906429850945;0;0
VAESTLR12016_v1_12919|ID:85467136|;-0,761101284290425;0;0
VAESTLR12016_v1_20960|ID:85468120|;-0,760075714047755;0;0
VAESTLR12016_v1_11106|ID:85465323|;-0,758383574066645;0;0
VAESTLR12016_v1_11124|ID:85465341|hisP|;-0,758235370048727;0;0
VAESTLR12016_v1_10765|ID:85464982|;-0,758649647533096;0;0
VAESTLR12016_v1_20213|ID:85467373|maa|;-0,767149517279758;0;0
VAESTLR12016_v1_20241|ID:85467401|;-0,777216549613829;0;0
VAESTLR12016_v1_11069|ID:85465286|lapA|;-0,775561219697802;0;0
VAESTLR12016_v1_20051|ID:85467211|;-0,698367582525302;0;0
VAESTLR12016_v1_12477|ID:85466694|gltB|;-0,697624701290356;0;0
VAESTLR12016_v1_12179|ID:85466396|;-0,696931664697153;0;0
VAESTLR12016_v1_20984|ID:85468144|;-0,696796263014518;0;0
VAESTLR12016_v1_30017|ID:85468445|;-0,701401841521259;0;0
VAESTLR12016_v1_21073|ID:85468233|;-0,699534183298194;0;0
VAESTLR12016_v1_11687|ID:85465904|;-0,695246251111219;0;0
VAESTLR12016_v1_10609|ID:85464826|;-0,695069325187675;0;0
VAESTLR12016_v1_20809|ID:85467969|;-0,693218708238192;0;0
VAESTLR12016_v1_10172|ID:85464389|fabR|;-0,711541057003052;0;0
VAESTLR12016_v1_20375|ID:85467535|;-0,711375446597292;0;0
VAESTLR12016_v1_20396|ID:85467556|mtlA|;-0,712928418307734;0;0
VAESTLR12016_v1_10478|ID:85464695|;-0,714920091564012;0;0
VAESTLR12016_v1_30066|ID:85468494|;-0,705111468473245;0;0
VAESTLR12016_v1_21011|ID:85468171|;-0,703439219337194;0;0
VAESTLR12016_v1_20387|ID:85467547|;-0,707566115789321;0;0
VAESTLR12016_v1_20590|ID:85467750|;-0,663167206424478;0;0
VAESTLR12016_v1_11747|ID:85465964|;-0,663136030925853;0;0
VAESTLR12016_v1_10176|ID:85464393|;-0,665781946617473;0;0
VAESTLR12016_v1_10549|ID:85464766|pilC|;-0,658354965560312;0;0
VAESTLR12016_v1_12651|ID:85466868|mlaF|;-0,65732017315934;0;0
VAESTLR12016_v1_11803|ID:85466020|cobS|;-0,67445912830906;0;0
VAESTLR12016_v1_11874|ID:85466091|umuC|;-0,673843242535071;0;0
VAESTLR12016_v1_11593|ID:85465810|;-0,670387890556068;0;0
VAESTLR12016_v1_20404|ID:85467564|ogt|;-0,66904796210384;0;0
VAESTLR12016_v1_30052|ID:85468480|;-0,685800889981706;0;0
VAESTLR12016_v1_20178|ID:85467338|;-0,684889973282894;0;0
VAESTLR12016_v1_20989|ID:85468149|;-0,683510525664098;0;0
VAESTLR12016_v1_20702|ID:85467862|;-0,68758482536267;0;0
VAESTLR12016_v1_20853|ID:85468013|;-0,678254621680429;0;0
VAESTLR12016_v1_12047|ID:85466264|tesB|;-0,677244576996786;0;0
VAESTLR12016_v1_11281|ID:85465498|;-0,679879841097835;0;0
VAESTLR12016_v1_10388|ID:85464605|nit|;-0,695693145039036;-0,224567884720851;0
VAESTLR12016_v1_20850|ID:85468010|;-0,595991861160474;0;0
VAESTLR12016_v1_12235|ID:85466452|bepA|;-0,594999861762369;0;0
VAESTLR12016_v1_12557|ID:85466774|rseA|;-0,597390438617471;0;0
VAESTLR12016_v1_11540|ID:85465757|;-0,592686735827069;0;0
VAESTLR12016_v1_20106|ID:85467266|;-0,592466875378526;0;0
VAESTLR12016_v1_12657|ID:85466874|lptA|;-0,599379253705347;0;0
VAESTLR12016_v1_10596|ID:85464813|oppD|;-0,599271606633334;0;0
VAESTLR12016_v1_12637|ID:85466854|;-0,6006771982035;0;0
VAESTLR12016_v1_20437|ID:85467597|;-0,602353243662889;0;0
VAESTLR12016_v1_11794|ID:85466011|;-0,581694434444032;0;0
VAESTLR12016_v1_11848|ID:85466065|;-0,581092206455433;0;0
VAESTLR12016_v1_10538|ID:85464755|yfjD|;-0,583419940632321;0;0
VAESTLR12016_v1_11070|ID:85465287|lapB|;-0,587465269881154;0;0
VAESTLR12016_v1_12202|ID:85466419|;-0,585739991185909;0;0
VAESTLR12016_v1_10639|ID:85464856|yfiC|;-0,575005657149388;0;0
VAESTLR12016_v1_20305|ID:85467465|;-0,574643016619156;0;0
VAESTLR12016_v1_12148|ID:85466365|;-0,573721114908245;0;0
VAESTLR12016_v1_20364|ID:85467524|;-0,576659496588227;0;0
VAESTLR12016_v1_12416|ID:85466633|ygjI|;-0,570868229332447;0;0
VAESTLR12016_v1_11639|ID:85465856|;-0,570569690126769;0;0
VAESTLR12016_v1_10555|ID:85464772|xerD|;-0,571669294549578;0;0
VAESTLR12016_v1_21032|ID:85468192|;-0,568820689356686;0;0
VAESTLR12016_v1_11965|ID:85466182|;-0,56570793267261;0;0
VAESTLR12016_v1_10804|ID:85465021|tadA|;-0,565048159532646;0;0
VAESTLR12016_v1_11105|ID:85465322|;-0,559215307206837;0;0
VAESTLR12016_v1_12110|ID:85466327|;-0,631738309396221;0;0
VAESTLR12016_v1_12351|ID:85466568|nrdR|;-0,630748174877668;0;0
VAESTLR12016_v1_20992|ID:85468152|;-0,630172689799164;0;0
