;15;22;34
VAESTLR12016_v1_12569|ID:85466786|fau|;-1,28525523573866;0;0
VAESTLR12016_v1_10948|ID:85465165|;-1,28462101276482;0;0
VAESTLR12016_v1_11646|ID:85465863|;-1,28261542206631;0;0
VAESTLR12016_v1_20694|ID:85467854|;-1,29146523698961;0;0
VAESTLR12016_v1_11734|ID:85465951|;-1,28980295340161;0;0
VAESTLR12016_v1_11592|ID:85465809|;-1,3022508322609;0;0
VAESTLR12016_v1_10977|ID:85465194|moaA|;-1,30168645351062;0;0
VAESTLR12016_v1_20371|ID:85467531|;-1,30037605481811;0;0
VAESTLR12016_v1_20857|ID:85468017|;-1,29903073796081;0;0
VAESTLR12016_v1_20760|ID:85467920|;-1,31872639207277;0;0
VAESTLR12016_v1_11577|ID:85465794|;-1,31810263474595;0;0
VAESTLR12016_v1_10399|ID:85464616|;-1,31582291703292;0;0
VAESTLR12016_v1_11960|ID:85466177|;-1,27660934046227;0;0
VAESTLR12016_v1_12558|ID:85466775|rpoE|;-1,27440611188534;0;0
VAESTLR12016_v1_10946|ID:85465163|;-1,26630220129083;0;0
VAESTLR12016_v1_10023|ID:85464240|;-1,26230726468503;0;0
VAESTLR12016_v1_10703|ID:85464920|;-1,25603597103027;0;0
VAESTLR12016_v1_12307|ID:85466524|;-1,24595044768142;0;0
VAESTLR12016_v1_10119|ID:85464336|yrdD|;-1,23210396716025;0;0
VAESTLR12016_v1_20858|ID:85468018|;-1,23201816346872;0;0
VAESTLR12016_v1_20110|ID:85467270|;-1,23346926482341;0;0
VAESTLR12016_v1_40001|ID:85468541|;-1,23600517496791;0;0
VAESTLR12016_v1_10134|ID:85464351|cyaA|;-1,22575272988748;0;0
VAESTLR12016_v1_11945|ID:85466162|;-1,22449042206314;0;0
VAESTLR12016_v1_20994|ID:85468154|;-1,19954173704761;0;0
VAESTLR12016_v1_20906|ID:85468066|;-1,19921505532766;0;0
VAESTLR12016_v1_20691|ID:85467851|;-1,19520514132502;0;0
VAESTLR12016_v1_20973|ID:85468133|;-1,20562740075101;0;0
VAESTLR12016_v1_21116|ID:85468276|;-1,15967694443153;0;0
VAESTLR12016_v1_12029|ID:85466246|;-1,15831174335043;0;0
VAESTLR12016_v1_12003|ID:85466220|;-1,16111280193512;0;0
VAESTLR12016_v1_10298|ID:85464515|tusC|;-1,16671742654335;0;0
VAESTLR12016_v1_12048|ID:85466265|decR|;-1,1650924412641;0;0
VAESTLR12016_v1_12909|ID:85467126|gmm|;-1,17377105395177;0;0
VAESTLR12016_v1_21230|ID:85468390|ycdZ|;-1,14984624666748;0;0
VAESTLR12016_v1_10721|ID:85464938|aceB|;-1,14606706191704;0;0
VAESTLR12016_v1_11490|ID:85465707|;-1,12738282155598;0;0
VAESTLR12016_v1_20763|ID:85467923|;-1,10398077697468;0;0
VAESTLR12016_v1_20935|ID:85468095|;-1,10358149346893;0;0
VAESTLR12016_v1_30085|ID:85468513|gsiA|;-1,10124992595944;0;0
VAESTLR12016_v1_12168|ID:85466385|;-1,09738892629689;0;0
VAESTLR12016_v1_20771|ID:85467931|;-1,09572890358499;0;0
VAESTLR12016_v1_11448|ID:85465665|;-0,999412327256969;0;0
VAESTLR12016_v1_11459|ID:85465676|msrC|;-0,998764141681722;0;0
VAESTLR12016_v1_11441|ID:85465658|tusE|;-1,00054497076851;0;0
VAESTLR12016_v1_10860|ID:85465077|;-1,00315955794182;0;0
VAESTLR12016_v1_12806|ID:85467023|priA|;-0,995442631103294;0;0
VAESTLR12016_v1_10297|ID:85464514|tusD|;-0,994241908847247;0;0
VAESTLR12016_v1_20998|ID:85468158|;-0,99268729250945;0;0
