Name	15-1	15-2	15-3	22-1	22-2	22-3	34-1	34-2	34-3	40-1	40-2	40-3	XC1	XC2	XC3	XM1	XM2	XM3	XS1	XS2	XS3	XT1	XT3
VAESTLR12016_v1_10001|ID:85464218|yhiN|	626	647	801	774	1712	2000	798	1333	1699	1545	1921	1650	683	583	915	834	637	643	1118	1070	1234	1244	908
VAESTLR12016_v1_10002|ID:85464219|	944	988	1137	4503	5067	4501	4360	3119	2554	2829	3139	2897	1236	1308	1964	1755	896	1623	3127	2236	3172	3105	2135
VAESTLR12016_v1_10003|ID:85464220|uspB|	975	1019	1182	6582	6802	4785	3971	2603	1961	1333	1113	1366	1460	1696	2317	2466	820	2111	2592	1927	3201	2526	1981
VAESTLR12016_v1_10004|ID:85464221|ftnA|	6328	6258	7818	16925	19094	13357	15020	8975	5671	7110	7013	6551	5987	6974	7371	8456	3771	9713	7927	6774	9039	7031	5661
VAESTLR12016_v1_10005|ID:85464222|uspA|	2438	2541	2909	5222	6099	3600	3977	2706	2305	1678	2069	2052	3621	5455	2949	1698	1671	2352	4935	3933	3534	3494	2658
VAESTLR12016_v1_10006|ID:85464223|bioP|	681	608	765	860	1432	1198	881	1009	1257	1138	1440	1437	910	1014	903	915	814	1032	1832	1575	2136	2403	1481
VAESTLR12016_v1_10007|ID:85464224|rsmJ|	621	696	807	714	950	1022	811	954	883	1127	1157	1116	1202	1237	1356	1557	2284	2758	1046	1301	1409	1087	909
VAESTLR12016_v1_10008|ID:85464225|asnC|	148	187	214	206	208	185	221	240	234	306	315	274	344	439	338	363	345	557	340	292	323	274	199
VAESTLR12016_v1_10009|ID:85464226|	1347	1592	1959	1468	2083	2899	1491	2138	2560	2517	2492	2290	1102	1082	1455	1225	1395	1350	1589	1035	720	1325	933
VAESTLR12016_v1_10010|ID:85464227|	21822	21567	27178	30981	37852	36473	25995	23128	19393	17995	17196	17143	10829	9781	9183	13069	7678	11295	9227	8531	12992	7638	6208
VAESTLR12016_v1_10011|ID:85464228|	132	180	203	474	550	562	527	450	544	375	336	332	217	249	273	350	284	299	331	241	254	346	239
VAESTLR12016_v1_10012|ID:85464229|	11115	8609	11295	5923	8361	10111	5791	9002	9187	8193	8317	6664	6830	7897	8966	8436	8511	5568	9523	7193	7715	7485	8155
